iter	Passed	Remaining
0	191	191448
1	234	11690422	343	11415733	419	10449344	510	10156755	604	10007466	723	10258577	807	10012188	909	100099	1015	100583
10	1105	99430
11	1291	106312
12	1379	104741313	1458	102614	14	1493	98015	15	1549	95216	16	1616	93417	17	1695	92418	18	1750	90319	19	1871	91690
20	2035	94887
21	2156	95859
22	2216	94141
23	2325	94584
24	2396	93477
25	2467	92432
227	2451	85115228	2654	88884
29	2697	87210230	2791	87257331	2846	86112332	2922	85640333	3059	86931
34	3154	86985335	3215	8610435	3380	90513
36	3495	90989
37	3558	90081
38	3613	89048
39	3667	88017
441	3674	83809442	3764	83779443	3859	83852444	3921	8322644	4071	86415
446	4080	82735447	4200	83313448	4339	84220449	4406	83725450	4463	8305350	4640	86350
51	4699	85679
52	4898	87519
53	5017	87894
54	5070	87128
55	5141	86664
56	5202	86071
57	5319	86400
58	5363	85543
59	5434	85143
60	5528	85109
61	5585	84498
62	5654	84101
63	5737	83911
64	5878	84553
65	5958	84316
66	6001	83566
67	6109	83731
68	6158	83091
69	6250	83046
70	6367	83318
71	6424	82801
72	6491	82432
73	6548	81943
74	6610	81526
75	6681	81233
76	6790	81397
77	6834	80787
78	6904	80496879	6981	80289880	7142	81041
81	7274	81439
82	7361	81326
83	7435	81081
84	7508	80826
85	7611	80891
86	7725	81075
87	7873	81598
88	7927	81141
89	8034	81232
90	8095	80864
91	8121	80157
92	8189	79871
93	8257	79587994	8336	79414995	8430	79387996	8517	79289997	8588	79045998	8675	78953199	8812	79310
101	9199	80990
102	9283	80851
102	9115	79387
103	9253	79724
104	9318	79432
105	9401	79289
106	9485	79166
107	9542	78812
108	9665	79009
109	9778	79114
110	9871	79057
111	9959	78966
112	10053	78913
113	10116	78624
114	10247	78862
115	10320	78650
116	10380	78338
117	10425	77923
118	10547	78083
119	10612	77825
120	10722	77891
121	10873	78250
122	10981	78296
123	11120	78561
124	11205	78440
125	11346	78708
126	11402	78379
127	11489	78274
128	11541	77925
129	11593	77585
130	11644	77243
131	11771	77405
132	11989	78154
133	12067	77988
134	12173	77999
135	12273	77974
136	12330	77670
137	12414	77542
138	12491	77374
139	12565	77185
140	12644	77035
141	12756	77078
142	12883	77213
143	12981	77169
144	13081	77134
145	13159	76971
146	13266	76983
147	13335	76766
148	13411	76595
149	13473	76348
150	13558	76232
151	13631	76050
152	13760	76176
153	13819	75915
154	13936	75977
155	14023	75871
156	14133	75887
157	14195	75649
158	14253	75388
159	14300	75079
160	14421	75151
161	14470	74854
162	14559	74760
163	14699	74933
164	14766	74726
165	14813	74425
166	14913	74388
167	15056	74566
168	15111	74303
169	15199	74209
170	15283	74095
171	15335	73826
172	15423	73728
173	15543	73786
174	15661	73832
175	15749	73736
176	15812	73522
177	15928	73557
178	16019	73475
179	16066	73190
180	16150	73077
181	16212	72869
182	16310	72819
183	16414	72795
184	16470	72558
185	16563	72488
186	16641	72350
187	16701	72137
188	16748	71868
189	16838	71784
190	16899	71578
191	16978	71450
192	17041	71254
193	17110	71088
194	17181	709319195	17270	708419196	17322	706019197	17403	704919198	17514	70499
199	17631	70524
200	17732	70487
201	17869	70593
202	17990	70630
203	18164	70879
204	18291	70934
